name,category,province,regency,latitude,longitude,qid,images
Air terjun Efrata,air-terjun,Sumatera Utara,Toba,2.536899,98.642366,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Air_Terjun_Efrata_tampak_dari_bawah_hingga_atas_01.jpg/960px-Air_Terjun_Efrata_tampak_dari_bawah_hingga_atas_01.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Air%20Terjun%20Efrata%20tampak%20dari%20bawah%20hingga%20atas%2006.jpg?width=800
Air Terjun Cipalasari,air-terjun,Jawa Barat,Kota Bandung,-6.781597,107.560014,,https://commons.wikimedia.org/wiki/Special:FilePath/Curug%20Cipalasari%20Bottom%20View.jpg?width=800
Air Terjun Cimanggu,air-terjun,Jawa Barat,Kota Bandung,-6.822333,107.511536,,https://commons.wikimedia.org/wiki/Special:FilePath/Curug%20Cimanggu.jpg?width=800
Air terjun Sampuren Putih,air-terjun,Sumatera Utara,Karo,3.267326,98.600559,,
Air Terjun Bolon,air-terjun,Sumatera Utara,Kota Pematangsiantar,2.713693,99.148157,,
Air Terjun Tumpang Dua,air-terjun,Kalimantan Selatan,Kotabaru,-3.32463,116.1836,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Air_Terjun_Tumpang_Dua_003.jpg/960px-Air_Terjun_Tumpang_Dua_003.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Air%20Terjun%20Tumpang%20Dua.jpg?width=800
Air terjun Coban Putri,air-terjun,Jawa Timur,Batu,-7.91199,112.530252,,https://commons.wikimedia.org/wiki/Special:FilePath/Coban%20Putri%2C%20Batu%2C%20Malang.jpg?width=800
Air Terjun Putuk Truno,air-terjun,Jawa Timur,Batu,-7.687812,112.635063,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Air_terjun_Putuk_Truno.jpg/960px-Air_terjun_Putuk_Truno.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Putuk%20Truno%20Waterfall.jpg?width=800
Air Terjun Tegenungan,air-terjun,Bali,Gianyar,-8.575229,115.290701,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Tegenungan_Waterfall_Ubud_Indonesia_-_panoramio_%286%29.jpg/960px-Tegenungan_Waterfall_Ubud_Indonesia_-_panoramio_%286%29.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Tegenungan%20Waterfall%202017-08-18%20%282%29.jpg?width=800
Air Terjun Nyarai,air-terjun,Sumatera Barat,Padang Pariaman,-0.683667,100.362722,,
